               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13311,            0.033923,            0.029698,           0.0011615,             0.17054,          0.00090877,          0.00024512,             0.12384,            0.025461,            0.022125,              0.0874,              0.0014,              0.0014
                   1,             0.12115,            0.026148,            0.018193,           0.0012345,             0.14212,           0.0022666,          0.00039034,             0.11757,            0.022071,             0.01335,            0.073859,            0.002859,            0.002859
                   2,             0.11518,            0.023226,            0.011983,           0.0035442,             0.35223,            0.029162,           0.0060367,             0.10198,            0.019883,           0.0087453,            0.060276,           0.0042755,           0.0042755
                   3,             0.10722,            0.022633,           0.0078571,             0.23544,             0.19654,             0.11892,             0.02671,            0.097161,            0.018182,           0.0080872,             0.04665,           0.0056497,           0.0056497
                   4,              0.1013,            0.019953,           0.0066396,             0.12326,             0.13986,            0.062962,            0.016862,             0.10632,            0.015726,           0.0060965,            0.032981,           0.0069814,           0.0069814
                   5,             0.10057,            0.016989,           0.0059491,             0.21738,             0.27519,             0.19154,            0.057611,             0.10428,            0.014366,           0.0051712,            0.019271,           0.0082706,           0.0082706
                   6,            0.098051,            0.016409,           0.0046482,             0.35722,             0.29893,              0.2469,            0.078577,            0.095333,             0.01439,           0.0034259,           0.0091514,           0.0091514,           0.0091514
                   7,            0.096738,            0.016449,           0.0046231,             0.36198,             0.26114,             0.20339,            0.058492,            0.094737,            0.014877,           0.0031693,           0.0091514,           0.0091514,           0.0091514
                   8,            0.091961,            0.017265,           0.0042327,             0.48843,              0.3603,             0.36685,             0.12635,            0.087164,             0.01728,           0.0033707,             0.00901,             0.00901,             0.00901
                   9,            0.084457,            0.017915,           0.0046882,             0.32364,             0.27697,             0.25716,            0.068059,            0.088113,            0.016744,           0.0026333,           0.0088686,           0.0088686,           0.0088686
                  10,            0.080447,            0.018447,           0.0037726,             0.49716,             0.41069,             0.41633,             0.12633,            0.087346,            0.016781,           0.0033845,           0.0087271,           0.0087271,           0.0087271
                  11,            0.078025,            0.017464,           0.0030673,             0.45105,             0.50969,             0.37847,             0.14069,            0.084513,            0.015089,           0.0038831,           0.0085857,           0.0085857,           0.0085857
                  12,            0.076612,            0.016574,           0.0030988,             0.41077,             0.46428,             0.32808,             0.10776,            0.075878,            0.016005,           0.0052205,           0.0084443,           0.0084443,           0.0084443
                  13,            0.075194,            0.016422,           0.0034896,             0.51304,             0.51431,             0.45741,             0.13601,            0.069013,            0.015411,           0.0038347,           0.0083029,           0.0083029,           0.0083029
                  14,            0.070891,            0.016652,           0.0030098,             0.47575,             0.59012,             0.48449,             0.17075,            0.068247,             0.01571,           0.0035302,           0.0081614,           0.0081614,           0.0081614
